date,count,ep_week
2020-05-09,4411738,19
2020-05-16,5441738,20
2020-05-23,5396022,21
2020-05-30,3288557,22
2020-06-06,3239302,23
2020-06-13,3105417,24
2020-06-20,2524989,25
2020-06-27,2334961,26
2020-07-04,2010932,27
2020-07-11,2980465,28
2020-07-18,2153756,29
2020-07-25,2911993,30
2020-08-01,2129849,31
2020-08-08,1493507,32
2020-08-15,2039531,33
2020-08-22,1196426,34
2020-08-29,1038078,35
2020-09-05,569568,36
2020-09-12,1090474,37
2020-09-19,1015679,38
2020-09-26,1015700,39
2020-10-03,875347,40
2020-10-10,603435,41
2020-10-17,879416,42
2020-10-24,813499,43
2020-10-31,589403,44
2020-11-07,457816,45
2020-11-14,573328,46
2020-11-21,599579,47
2020-11-28,642585,48
2020-12-05,757855,49
2020-12-12,871834,50
2020-12-19,923378,51
2020-12-26,895676,52
2021-01-02,1219656,53
2021-01-09,198679,1
