covid;quarentena;cloroquina;distanciamento;distanciamento_social
782014;1236499;20803;0;12784
802278;1232227;35935;0;12904
808660;1123989;200837;0;13577
800097;1064973;268898;0;12591
576040;935498;83278;0;9341
597720;637045;55746;0;9131
594083;677644;50777;0;8914
512174;675298;41311;0;7121
509670;631530;27287;0;7877
456859;517299;28303;0;7041
710044;485422;208159;0;7634
483942;459465;63780;0;7101
474094;472412;111745;0;7563
403030;403561;77036;0;6504
366216;333226;44472;0;6138
419638;331826;73687;0;7292
300103;296085;41639;0;4935
259847;198042;28900;0;3702
194829;152057;12162;0;3662
260404;196360;14567;0;4940
247754;159352;12201;0;4772
299144;140875;10931;0;4546
257356;123891;19926;0;3716
218308;112931;8010;0;3883
229034;100176;11375;0;4206
261490;97820;82132;0;4273
246095;89044;14374;0;4927
206129;75556;8072;0;3613
279053;80543;13658;0;4527
302144;79284;9230;0;4427
326754;70810;11840;0;4322
339243;82189;11748;0;5184
358445;74609;42178;0;4915
363966;70457;22951;0;5489
320457;58587;20231;0;4715
446460;70695;17863;0;5650
